id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
cj1598	2008-10-30	m	alive	ap	ge; brosnan	cj1212	cj1271	cen	2008-10-30						a142	0024	gm	0.3070	2009-07-22	1970-01-01 13:35:00	2009-05-21			
r08055	2008-10-28	f	alive	ab		r98047	rh2138	cen	2008-10-28						ab120	0035	m	1.6100	2009-07-23	1970-01-01 09:10:00	2009-07-23			
cj1597	2008-10-24	m	alive	u	ge	cj0686	cj0441	cen	2008-10-24						a165	0001	gm	0.3010	2009-07-27	1970-01-01 09:55:00	2009-05-18			
cj1595	2008-10-24	f	d-othr	u		cj0686	cj0441	cen	2008-10-24	2008-10-24					a165	0001	gm							
cj1594	2008-10-24	m	d-othr	u		cj0686	cj0441	cen	2008-10-24	2008-10-24					a165	0001	gm							
cj1596	2008-10-24	m	d-othr	u		cj0686	cj0441	cen	2008-10-24	2008-10-25					a165	0001	gm							
r08054	2008-10-21	m	alive	ab		r03005	r96018	cen	2008-10-21						ab113	0005	p	1.8200	2009-06-25	1970-01-01 09:10:00				
r08053	2008-10-19	f	alive	ab		r04070	r95092	cen	2008-10-19						ab118	0031	gm	1.7000	2009-07-02	1970-01-01 09:05:00	2009-07-02			SPF
cj1592	2008-09-30	m	d-othr	u		cj1038	cj0955	cen	2008-09-30	2008-10-01					a144	0002	gmf							
cj1593	2008-09-30	f	d-othr	u		cj1038	cj0955	cen	2008-09-30	2008-10-06					a144	0002	gmf							
r08052	2008-09-29	m	alive	ab		rhau79	rh2143	cen	2008-09-29						ab108	0036	m	2.2600	2009-07-27	1970-01-01 09:00:00	2009-07-27			SPF
r08051	2008-09-28	m	alive	ab		rhas72	r95059	cen	2008-09-28						ab119	0016	m	2.1100	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
r08050	2008-09-15	f	alive	ab		r99042	r01037	cen	2008-09-15						ab120	0031	m	2.0900	2009-07-23	1970-01-01 09:10:00	2009-07-23			SPF
r08049	2008-09-13	f	alive	ab		r99052	rh2143	cen	2008-09-13						ab142	0005	m	1.4700	2009-07-14	1970-01-01 10:25:00	2009-07-14			SPF
cj1591	2008-09-09	m	alive	u		cj0534	cj0863	cen	2008-09-09						a142	0019	gmf	0.3110	2009-06-30	1970-01-01 14:45:00				
r08048	2008-09-07	m	alive	ab		r01041	r95059	cen	2008-09-07						ab108	0011	gm	1.9400	2009-07-27	1970-01-01 09:00:00	2009-07-27			SPF
r08047	2008-09-06	m	alive	ab		rhav25	r03015	cen	2008-09-06						ab119	0013	gm	1.9200	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
r08046	2008-09-02	m	alive	ab		r02118	r95059	cen	2008-09-02						c435	pen1	g	2.0800	2009-07-01	1970-01-01 08:45:00	2009-07-01			SPF
r08045	2008-08-31	m	alive	ab		r02062	r01103	cen	2008-08-31						ab118	0041	gam	2.0700	2009-07-02	1970-01-01 09:05:00	2009-07-02			
r08044	2008-08-28	m	alive	ab		r98007	r98061	cen	2008-08-28						c435	pen1	g	1.9200	2009-07-01	1970-01-01 08:45:00	2009-07-01			SPF
r08043	2008-08-27	m	alive	ab		rh2140	r02009	cen	2008-08-27						ab118	0007	gm	1.9700	2009-07-02	1970-01-01 09:05:00	2009-07-02			SPF
cj1590	2008-08-26	f	alive	u		cj1148	cj1368	cen	2008-08-26						a165	0003	gm	0.2860	2009-07-27	1970-01-01 09:55:00	2009-05-18			
cj1589	2008-08-26	m	alive	u		cj1148	cj1368	cen	2008-08-26						a165	0003	gm	0.2980	2009-07-27	1970-01-01 09:55:00	2009-05-18			
r08042	2008-08-25	m	alive	ab		r02083	r95069	cen	2008-08-25						ab119	0029	gm	2.1100	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
cj1588	2008-08-22	f	alive	u		cj0574	cj0465	cen	2008-08-22						a161c	pen1	gmf	0.2990	2009-06-24	1970-01-01 09:00:00	2009-05-27			
cj1586	2008-08-22	m	d-othr	u		cj0574	cj0465	cen	2008-08-22	2008-08-27					ab190	pen1	gmf	0.0250	2008-08-27					
cj1587	2008-08-22	f	d-othr	u		cj0574	cj0465	cen	2008-08-22	2008-08-31					ab190	pen1	gmf							
cj1585	2008-08-21	f	d-othr	u		cj0762	cm0573	cen	2008-08-21	2008-08-21					a140	0015	gmf	0.0193	2008-08-21	1970-01-01 15:20:00				
r08041	2008-08-19	f	alive	apr	terasawa	rhav68	rh2048	cen	2008-08-19						c331	0003	p	2.2000	2009-07-17	1970-01-01 10:30:00	2009-07-06			SPF
r08040	2008-08-08	f	alive	apr	terasawa	r95072		cen	2008-08-08						c331	0003	p	2.2800	2009-07-17	1970-01-01 10:30:00	2009-07-06			
r08038	2008-08-03	m	alive	ab		rh1978	r95092	cen	2008-08-03						ab119	0008	gm	2.7600	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
r08039	2008-08-03	f	alive	ab		r02080	r92064	cen	2008-08-03						c435	pen1	g	2.0600	2009-07-01	1970-01-01 08:45:00	2009-07-01			SPF
r08037	2008-08-02	m	alive	ab		r97081	rh2142	cen	2008-08-02						ab118	0045	gm	2.3900	2009-07-02	1970-01-01 09:05:00	2009-07-02			SPF
r08036	2008-07-28	m	alive	ab		r96086	rh2085	cen	2008-07-28						ab119	0002	m	2.2200	2009-07-07	1970-01-01 09:30:00	2009-07-07			SPF
r08035	2008-07-23	f	alive	ab		rh1992	r02009	cen	2008-07-23						ab112	0005	g	2.4900	2009-07-22	1970-01-01 09:15:00	2009-07-07			SPF
